date,symbol,action,score,tech_score,upside_1y,forward_return_pct,hit
2021-03-03,AAPL,BUY,63.0,63.0,21.08,0.07,True
2021-03-03,MSFT,HOLD,55.0,55.0,10.38,3.61,
2021-03-03,NVDA,BUY,65.0,65.0,17.47,4.28,True
2021-03-03,GOOGL,STRONG BUY,73.0,73.0,25.12,2.54,True
2021-03-03,AMZN,HOLD,55.0,55.0,7.65,2.96,
2021-03-03,META,HOLD,47.0,47.0,3.94,15.32,
2021-03-03,TSLA,BUY,58.0,58.0,59.61,2.26,True
2021-03-10,AAPL,BUY,55.0,55.0,18.48,8.65,True
2021-03-10,MSFT,BUY,63.0,63.0,15.5,8.96,True
2021-03-10,NVDA,HOLD,50.0,50.0,14.09,14.83,
2021-03-10,GOOGL,STRONG BUY,73.0,73.0,28.05,10.52,True
2021-03-10,AMZN,HOLD,47.0,47.0,5.22,7.9,
2021-03-10,META,HOLD,55.0,55.0,5.47,18.17,
2021-03-10,TSLA,BUY,50.0,50.0,59.76,2.36,True
2021-03-17,AAPL,BUY,55.0,55.0,17.08,7.81,True
2021-03-17,MSFT,BUY,63.0,63.0,11.29,9.48,True
2021-03-17,NVDA,HOLD,50.0,50.0,10.53,20.96,
2021-03-17,GOOGL,BUY,63.0,63.0,18.86,9.75,True
2021-03-17,AMZN,HOLD,55.0,55.0,5.44,7.76,
2021-03-17,META,BUY,73.0,73.0,8.3,8.38,True
2021-03-17,TSLA,BUY,50.0,50.0,55.92,5.28,True
2021-03-24,AAPL,BUY,55.0,55.0,15.73,9.87,True
2021-03-24,MSFT,BUY,63.0,63.0,13.11,9.22,True
2021-03-24,NVDA,HOLD,50.0,50.0,11.72,17.46,
2021-03-24,GOOGL,BUY,63.0,63.0,18.97,10.82,True
2021-03-24,AMZN,HOLD,47.0,47.0,6.26,7.19,
2021-03-24,META,STRONG BUY,73.0,73.0,11.79,5.1,True
2021-03-24,TSLA,BUY,50.0,50.0,56.91,14.19,True
2021-03-31,AAPL,BUY,55.0,55.0,15.81,9.28,True
2021-03-31,MSFT,STRONG BUY,73.0,73.0,16.05,7.1,True
2021-03-31,NVDA,HOLD,50.0,50.0,12.05,14.81,
2021-03-31,GOOGL,BUY,63.0,63.0,19.1,16.01,True
2021-03-31,AMZN,HOLD,47.0,47.0,5.85,12.19,
2021-03-31,META,STRONG BUY,73.0,73.0,13.52,11.88,True
2021-03-31,TSLA,BUY,50.0,50.0,43.71,1.36,True
2021-04-08,AAPL,BUY,65.0,65.0,20.26,-0.48,False
2021-04-08,MSFT,BUY,65.0,65.0,16.16,-1.39,False
2021-04-08,NVDA,BUY,60.0,60.0,16.37,1.44,True
2021-04-08,GOOGL,BUY,65.0,65.0,22.12,3.86,True
2021-04-08,AMZN,BUY,65.0,65.0,9.91,0.21,True
2021-04-08,META,BUY,65.0,65.0,13.06,2.24,True
2021-04-08,TSLA,BUY,60.0,60.0,36.36,-2.96,False
2021-04-15,AAPL,BUY,65.0,65.0,18.32,-6.93,False
2021-04-15,MSFT,BUY,65.0,65.0,17.65,-6.35,False
2021-04-15,NVDA,BUY,65.0,65.0,19.89,-15.32,False
2021-04-15,GOOGL,BUY,65.0,65.0,21.87,-2.46,False
2021-04-15,AMZN,BUY,65.0,65.0,11.21,-6.44,False
2021-04-15,META,BUY,65.0,65.0,12.41,-0.83,False
2021-04-15,TSLA,BUY,68.0,68.0,38.26,-22.62,False
2021-04-22,AAPL,STRONG BUY,73.0,73.0,19.21,-3.35,False
2021-04-22,MSFT,BUY,65.0,65.0,17.85,-3.94,False
2021-04-22,NVDA,STRONG BUY,73.0,73.0,21.51,-1.6,False
2021-04-22,GOOGL,BUY,65.0,65.0,23.54,2.42,True
2021-04-22,AMZN,HOLD,55.0,55.0,8.97,-1.85,
2021-04-22,META,STRONG BUY,73.0,73.0,13.93,7.45,True
2021-04-22,TSLA,BUY,68.0,68.0,36.62,-18.47,False
2021-04-29,AAPL,STRONG BUY,73.0,73.0,17.18,-5.98,False
2021-04-29,MSFT,STRONG BUY,73.0,73.0,17.64,-1.04,False
2021-04-29,NVDA,STRONG BUY,73.0,73.0,21.02,1.07,True
2021-04-29,GOOGL,STRONG BUY,73.0,73.0,30.46,-1.26,False
2021-04-29,AMZN,STRONG BUY,73.0,73.0,12.59,-6.95,False
2021-04-29,META,STRONG BUY,73.0,73.0,16.85,0.98,True
2021-04-29,TSLA,BUY,60.0,60.0,26.54,-6.82,False
2021-05-06,AAPL,STRONG BUY,73.0,73.0,12.04,-2.8,False
2021-05-06,MSFT,STRONG BUY,73.0,73.0,15.59,0.66,True
2021-05-06,NVDA,STRONG BUY,81.0,81.0,22.52,21.04,True
2021-05-06,GOOGL,STRONG BUY,73.0,73.0,28.04,2.41,True
2021-05-06,AMZN,BUY,73.0,73.0,9.36,-3.03,False
2021-05-06,META,STRONG BUY,73.0,73.0,15.73,3.23,True
2021-05-06,TSLA,BUY,60.0,60.0,28.25,-9.72,False
2021-05-13,AAPL,BUY,63.0,63.0,10.7,1.9,True
2021-05-13,MSFT,BUY,63.0,63.0,14.34,6.36,True
2021-05-13,NVDA,BUY,63.0,63.0,14.15,30.47,True
2021-05-13,GOOGL,STRONG BUY,73.0,73.0,27.91,9.02,True
2021-05-13,AMZN,HOLD,47.0,47.0,3.21,5.86,
2021-05-13,META,BUY,63.0,63.0,13.14,8.52,True
2021-05-13,TSLA,BUY,50.0,50.0,20.85,6.68,True
2021-05-20,AAPL,HOLD,55.0,55.0,9.52,2.47,
2021-05-20,MSFT,BUY,63.0,63.0,15.62,5.25,True
2021-05-20,NVDA,BUY,63.0,63.0,14.98,27.58,True
2021-05-20,GOOGL,BUY,63.0,63.0,27.28,4.13,True
2021-05-20,AMZN,BUY,63.0,63.0,8.33,7.37,True
2021-05-20,META,STRONG BUY,73.0,73.0,21.8,3.47,True
2021-05-20,TSLA,HOLD,50.0,50.0,13.73,6.23,
2021-05-27,AAPL,HOLD,55.0,55.0,7.33,6.25,
2021-05-27,MSFT,BUY,63.0,63.0,13.48,6.3,True
2021-05-27,NVDA,STRONG BUY,73.0,73.0,19.42,22.9,True
2021-05-27,GOOGL,STRONG BUY,73.0,73.0,25.86,3.7,True
2021-05-27,AMZN,HOLD,55.0,55.0,3.63,5.3,
2021-05-27,META,STRONG BUY,73.0,73.0,19.78,2.59,True
2021-05-27,TSLA,HOLD,55.0,55.0,12.71,6.5,
2021-06-04,AAPL,HOLD,55.0,55.0,3.27,11.18,
2021-06-04,MSFT,BUY,63.0,63.0,11.49,10.71,True
2021-06-04,NVDA,BUY,65.0,65.0,24.89,16.57,True
2021-06-04,GOOGL,STRONG BUY,73.0,73.0,29.08,4.66,True
2021-06-04,AMZN,HOLD,47.0,47.0,1.67,9.51,
2021-06-04,META,STRONG BUY,73.0,73.0,18.66,7.37,True
2021-06-04,TSLA,HOLD,47.0,47.0,9.49,13.33,
2021-06-11,AAPL,HOLD,55.0,55.0,5.61,13.47,
2021-06-11,MSFT,BUY,68.0,68.0,11.14,7.53,True
2021-06-11,NVDA,BUY,65.0,65.0,22.63,15.08,True
2021-06-11,GOOGL,BUY,65.0,65.0,20.2,4.5,True
2021-06-11,AMZN,BUY,65.0,65.0,4.89,11.11,True
2021-06-11,META,STRONG BUY,73.0,73.0,20.4,6.61,True
2021-06-11,TSLA,HOLD,55.0,55.0,10.08,12.43,
2021-06-18,AAPL,BUY,73.0,73.0,8.8,9.19,True
2021-06-18,MSFT,STRONG BUY,76.0,76.0,13.22,6.78,True
2021-06-18,NVDA,BUY,65.0,65.0,19.16,0.76,True
2021-06-18,GOOGL,STRONG BUY,73.0,73.0,21.36,3.72,True
2021-06-18,AMZN,BUY,68.0,68.0,6.99,1.8,True
2021-06-18,META,STRONG BUY,73.0,73.0,19.26,2.21,True
2021-06-18,TSLA,BUY,65.0,65.0,13.03,3.68,True
2021-06-25,AAPL,BUY,68.0,68.0,10.12,11.93,True
2021-06-25,MSFT,BUY,68.0,68.0,12.1,9.07,True
2021-06-25,NVDA,BUY,65.0,65.0,20.23,1.38,True
2021-06-25,GOOGL,STRONG BUY,76.0,76.0,22.56,9.41,True
2021-06-25,AMZN,BUY,68.0,68.0,5.38,8.77,True
2021-06-25,META,STRONG BUY,73.0,73.0,21.64,9.11,True
2021-06-25,TSLA,BUY,65.0,65.0,12.89,-2.12,False
2021-07-02,AAPL,BUY,68.0,68.0,15.36,3.97,True
2021-07-02,MSFT,BUY,68.0,68.0,17.85,2.58,True
2021-07-02,NVDA,BUY,65.0,65.0,32.43,-3.6,False
2021-07-02,GOOGL,STRONG BUY,76.0,76.0,26.43,7.66,True
2021-07-02,AMZN,STRONG BUY,76.0,76.0,12.87,-5.11,False
2021-07-02,META,STRONG BUY,73.0,73.0,27.65,-0.78,False
