symbol,latest_form,prev_form,filing_date,prev_date,edge_score,edge_label,drift_alert,similarity,sentiment_drift,horizon_days,forward_return_pct,hit_directional,hit_abs_gt_0,signal_direction,top_signal_types,edge_summary
AAPL,10-Q,10-K,2026-01-30,2025-10-31,-11.81,Negative filing drift,True,0.2629345549154048,-0.1027777777777778,30,5.78,False,True,negative,"risk_rising,tone_cautious,tone_cautious,risk_rising",mda language became more cautious/risk-heavy. liquidity language became more cautious/risk-heavy.
AAPL,10-Q,10-K,2026-01-30,2025-10-31,-11.81,Negative filing drift,True,0.2629345549154048,-0.1027777777777778,90,5.78,False,True,negative,"risk_rising,tone_cautious,tone_cautious,risk_rising",mda language became more cautious/risk-heavy. liquidity language became more cautious/risk-heavy.
AAPL,10-Q,10-K,2026-01-30,2025-10-31,-11.81,Negative filing drift,True,0.2629345549154048,-0.1027777777777778,252,5.78,False,True,negative,"risk_rising,tone_cautious,tone_cautious,risk_rising",mda language became more cautious/risk-heavy. liquidity language became more cautious/risk-heavy.
AAPL,10-K,10-Q,2025-10-31,2025-08-01,10.12,Positive filing drift,True,0.2075635401556864,-0.030555555555555544,30,1.48,True,True,positive,,liquidity tone/opportunity signals improved. mda tone/opportunity signals improved.
AAPL,10-K,10-Q,2025-10-31,2025-08-01,10.12,Positive filing drift,True,0.2075635401556864,-0.030555555555555544,90,1.62,True,True,positive,,liquidity tone/opportunity signals improved. mda tone/opportunity signals improved.
AAPL,10-K,10-Q,2025-10-31,2025-08-01,10.12,Positive filing drift,True,0.2075635401556864,-0.030555555555555544,252,1.62,True,True,positive,,liquidity tone/opportunity signals improved. mda tone/opportunity signals improved.
AAPL,10-Q,10-Q,2025-08-01,2025-05-02,8.04,Positive filing drift,True,0.35148075997054595,0.06405507191221477,30,17.09,True,True,positive,"tone_cautious,risk_rising",risk_factors tone/opportunity signals improved. liquidity language became more cautious/risk-heavy.
AAPL,10-Q,10-Q,2025-08-01,2025-05-02,8.04,Positive filing drift,True,0.35148075997054595,0.06405507191221477,90,37.25,True,True,positive,"tone_cautious,risk_rising",risk_factors tone/opportunity signals improved. liquidity language became more cautious/risk-heavy.
AAPL,10-Q,10-Q,2025-08-01,2025-05-02,8.04,Positive filing drift,True,0.35148075997054595,0.06405507191221477,252,35.91,True,True,positive,"tone_cautious,risk_rising",risk_factors tone/opportunity signals improved. liquidity language became more cautious/risk-heavy.
AAPL,10-Q,10-Q,2025-05-02,2025-01-31,11.99,Positive filing drift,True,0.6999996023617472,0.028509863152720312,30,-3.25,False,False,positive,"opportunity_emerging,opportunity_emerging",liquidity tone/opportunity signals improved. risk_factors tone/opportunity signals improved.
AAPL,10-Q,10-Q,2025-05-02,2025-01-31,11.99,Positive filing drift,True,0.6999996023617472,0.028509863152720312,90,12.29,True,True,positive,"opportunity_emerging,opportunity_emerging",liquidity tone/opportunity signals improved. risk_factors tone/opportunity signals improved.
AAPL,10-Q,10-Q,2025-05-02,2025-01-31,11.99,Positive filing drift,True,0.6999996023617472,0.028509863152720312,252,34.12,True,True,positive,"opportunity_emerging,opportunity_emerging",liquidity tone/opportunity signals improved. risk_factors tone/opportunity signals improved.
MSFT,10-Q,10-Q,2026-01-28,2025-10-29,-0.3,Neutral filing drift,False,0.8959111252896025,0.006778083556654962,30,-16.63,,False,neutral,,risk_factors tone/opportunity signals improved. liquidity language became more cautious/risk-heavy.
MSFT,10-Q,10-Q,2026-01-28,2025-10-29,-0.3,Neutral filing drift,False,0.8959111252896025,0.006778083556654962,90,-16.63,,False,neutral,,risk_factors tone/opportunity signals improved. liquidity language became more cautious/risk-heavy.
MSFT,10-Q,10-Q,2026-01-28,2025-10-29,-0.3,Neutral filing drift,False,0.8959111252896025,0.006778083556654962,252,-16.63,,False,neutral,,risk_factors tone/opportunity signals improved. liquidity language became more cautious/risk-heavy.
MSFT,10-Q,10-K,2025-10-29,2025-07-30,6.76,Neutral filing drift,True,0.16152141857622285,0.09042708032708026,30,-10.56,False,False,positive,"risk_rising,tone_cautious,opportunity_emerging",mda tone/opportunity signals improved. liquidity tone/opportunity signals improved.
MSFT,10-Q,10-K,2025-10-29,2025-07-30,6.76,Neutral filing drift,True,0.16152141857622285,0.09042708032708026,90,-25.72,False,False,positive,"risk_rising,tone_cautious,opportunity_emerging",mda tone/opportunity signals improved. liquidity tone/opportunity signals improved.
MSFT,10-Q,10-K,2025-10-29,2025-07-30,6.76,Neutral filing drift,True,0.16152141857622285,0.09042708032708026,252,-25.72,False,False,positive,"risk_rising,tone_cautious,opportunity_emerging",mda tone/opportunity signals improved. liquidity tone/opportunity signals improved.
MSFT,10-K,10-Q,2025-07-30,2025-04-30,-12.54,Negative filing drift,True,0.13478181970111963,-0.10115083649525448,30,-2.22,True,False,negative,"risk_rising,risk_rising,tone_cautious,opportunity_emerging",liquidity language became more cautious/risk-heavy. mda language became more cautious/risk-heavy.
MSFT,10-K,10-Q,2025-07-30,2025-04-30,-12.54,Negative filing drift,True,0.13478181970111963,-0.10115083649525448,90,-5.53,True,False,negative,"risk_rising,risk_rising,tone_cautious,opportunity_emerging",liquidity language became more cautious/risk-heavy. mda language became more cautious/risk-heavy.
MSFT,10-K,10-Q,2025-07-30,2025-04-30,-12.54,Negative filing drift,True,0.13478181970111963,-0.10115083649525448,252,-21.49,True,False,negative,"risk_rising,risk_rising,tone_cautious,opportunity_emerging",liquidity language became more cautious/risk-heavy. mda language became more cautious/risk-heavy.
MSFT,10-Q,10-Q,2025-04-30,2025-01-29,4.17,Neutral filing drift,False,0.9489788166938823,-0.001187648456057011,30,21.38,True,True,positive,opportunity_emerging,liquidity tone/opportunity signals improved.
MSFT,10-Q,10-Q,2025-04-30,2025-01-29,4.17,Neutral filing drift,False,0.9489788166938823,-0.001187648456057011,90,26.54,True,True,positive,opportunity_emerging,liquidity tone/opportunity signals improved.
MSFT,10-Q,10-Q,2025-04-30,2025-01-29,4.17,Neutral filing drift,False,0.9489788166938823,-0.001187648456057011,252,2.13,True,True,positive,opportunity_emerging,liquidity tone/opportunity signals improved.
NVDA,10-K,10-Q,2026-02-25,2025-11-19,2.68,Neutral filing drift,True,0.11864799714507608,-0.003315101065743755,30,,,,positive,"risk_rising,opportunity_emerging",liquidity tone/opportunity signals improved. mda language became more cautious/risk-heavy.
NVDA,10-K,10-Q,2026-02-25,2025-11-19,2.68,Neutral filing drift,True,0.11864799714507608,-0.003315101065743755,90,,,,positive,"risk_rising,opportunity_emerging",liquidity tone/opportunity signals improved. mda language became more cautious/risk-heavy.
NVDA,10-K,10-Q,2026-02-25,2025-11-19,2.68,Neutral filing drift,True,0.11864799714507608,-0.003315101065743755,252,,,,positive,"risk_rising,opportunity_emerging",liquidity tone/opportunity signals improved. mda language became more cautious/risk-heavy.
NVDA,10-Q,10-Q,2025-11-19,2025-08-27,5.26,Neutral filing drift,True,0.8133820892512698,0.02573148605062187,30,0.86,True,True,positive,"risk_rising,risk_rising,opportunity_emerging,opportunity_emerging",liquidity language became more cautious/risk-heavy. mda tone/opportunity signals improved.
NVDA,10-Q,10-Q,2025-11-19,2025-08-27,5.26,Neutral filing drift,True,0.8133820892512698,0.02573148605062187,90,4.85,True,True,positive,"risk_rising,risk_rising,opportunity_emerging,opportunity_emerging",liquidity language became more cautious/risk-heavy. mda tone/opportunity signals improved.
NVDA,10-Q,10-Q,2025-11-19,2025-08-27,5.26,Neutral filing drift,True,0.8133820892512698,0.02573148605062187,252,4.85,True,True,positive,"risk_rising,risk_rising,opportunity_emerging,opportunity_emerging",liquidity language became more cautious/risk-heavy. mda tone/opportunity signals improved.
NVDA,10-Q,10-Q,2025-08-27,2025-05-28,-20.79,Negative filing drift,True,0.8939575715596222,-0.01244465173728282,30,6.05,False,True,negative,"risk_rising,risk_rising",mda language became more cautious/risk-heavy. risk_factors language became more cautious/risk-heavy.
NVDA,10-Q,10-Q,2025-08-27,2025-05-28,-20.79,Negative filing drift,True,0.8939575715596222,-0.01244465173728282,90,3.12,False,True,negative,"risk_rising,risk_rising",mda language became more cautious/risk-heavy. risk_factors language became more cautious/risk-heavy.
NVDA,10-Q,10-Q,2025-08-27,2025-05-28,-20.79,Negative filing drift,True,0.8939575715596222,-0.01244465173728282,252,7.7,False,True,negative,"risk_rising,risk_rising",mda language became more cautious/risk-heavy. risk_factors language became more cautious/risk-heavy.
NVDA,10-Q,10-K,2025-05-28,2025-02-26,0.45,Neutral filing drift,True,0.30700119639796725,-0.05424393989196104,30,22.34,,True,neutral,"tone_cautious,tone_cautious,opportunity_emerging",Cautionary tone strengthened.
NVDA,10-Q,10-K,2025-05-28,2025-02-26,0.45,Neutral filing drift,True,0.30700119639796725,-0.05424393989196104,90,37.65,,True,neutral,"tone_cautious,tone_cautious,opportunity_emerging",Cautionary tone strengthened.
NVDA,10-Q,10-K,2025-05-28,2025-02-26,0.45,Neutral filing drift,True,0.30700119639796725,-0.05424393989196104,252,45.09,,True,neutral,"tone_cautious,tone_cautious,opportunity_emerging",Cautionary tone strengthened.
GOOGL,10-K,10-Q,2026-02-05,2025-10-30,-1.3,Neutral filing drift,True,0.0689718546291591,0.04153471528471531,30,-5.54,,False,neutral,"risk_rising,risk_rising,tone_cautious,risk_rising",liquidity language became more cautious/risk-heavy. risk_factors tone/opportunity signals improved.
GOOGL,10-K,10-Q,2026-02-05,2025-10-30,-1.3,Neutral filing drift,True,0.0689718546291591,0.04153471528471531,90,-5.54,,False,neutral,"risk_rising,risk_rising,tone_cautious,risk_rising",liquidity language became more cautious/risk-heavy. risk_factors tone/opportunity signals improved.
GOOGL,10-K,10-Q,2026-02-05,2025-10-30,-1.3,Neutral filing drift,True,0.0689718546291591,0.04153471528471531,252,-5.54,,False,neutral,"risk_rising,risk_rising,tone_cautious,risk_rising",liquidity language became more cautious/risk-heavy. risk_factors tone/opportunity signals improved.
GOOGL,10-Q,10-Q,2025-10-30,2025-07-24,0.0,Neutral filing drift,False,0.9999999999999999,0.0,30,9.95,,True,neutral,,Narrative remains broadly consistent with prior filing.
GOOGL,10-Q,10-Q,2025-10-30,2025-07-24,0.0,Neutral filing drift,False,0.9999999999999999,0.0,90,11.24,,True,neutral,,Narrative remains broadly consistent with prior filing.
GOOGL,10-Q,10-Q,2025-10-30,2025-07-24,0.0,Neutral filing drift,False,0.9999999999999999,0.0,252,11.24,,True,neutral,,Narrative remains broadly consistent with prior filing.
GOOGL,10-Q,10-Q,2025-07-24,2025-04-25,10.27,Positive filing drift,False,0.9999999999999999,0.0,30,22.29,True,True,positive,,mda tone/opportunity signals improved.
GOOGL,10-Q,10-Q,2025-07-24,2025-04-25,10.27,Positive filing drift,False,0.9999999999999999,0.0,90,64.01,True,True,positive,,mda tone/opportunity signals improved.
GOOGL,10-Q,10-Q,2025-07-24,2025-04-25,10.27,Positive filing drift,False,0.9999999999999999,0.0,252,63.08,True,True,positive,,mda tone/opportunity signals improved.
GOOGL,10-Q,10-K,2025-04-25,2025-02-05,-4.91,Neutral filing drift,True,0.07843873020346723,-0.05069217200122714,30,8.86,False,True,negative,,mda language became more cautious/risk-heavy.
GOOGL,10-Q,10-K,2025-04-25,2025-02-05,-4.91,Neutral filing drift,True,0.07843873020346723,-0.05069217200122714,90,43.6,False,True,negative,,mda language became more cautious/risk-heavy.
GOOGL,10-Q,10-K,2025-04-25,2025-02-05,-4.91,Neutral filing drift,True,0.07843873020346723,-0.05069217200122714,252,93.73,False,True,negative,,mda language became more cautious/risk-heavy.
